day,tp,primeTank,bleachTank,trt,nubid,genet,trt_genet,cells,chl,chlpcell,prot,protpcell,fvfm,dhd,dhw
12,3,4,1,LH,C09,C,LH_C,3269379,4.344,13.29,0.214,0.066,0.543,6.794,0.971
12,3,4,2,LH,D18,D,LH_D,1436533,2.831,19.71,0.241,0.167,0.545,6.979,0.997
12,3,4,1,LH,E13O,E,LH_E,2351430,3.346,14.23,0.446,0.19,0.493,6.794,0.971
12,3,4,3,LH,F19,F,LH_F,3568921,5.943,16.65,0.426,0.119,0.567,6.853,0.979
12,3,4,2,LH,G14,G,LH_G,2299789,4.272,18.58,0.374,0.162,0.58,6.979,0.997
12,3,4,5,LH,H30,H,LH_H,670058,1.316,19.64,0.283,0.422,0.465,6.87,0.981
12,3,4,6,LH,I27,I,LH_I,2345667,4.569,19.48,0.305,0.13,0.477,6.801,0.972
12,3,4,2,LH,J02,J,LH_J,1975663,3.768,19.07,0.275,0.139,0.519,6.979,0.997
12,3,5,2,HL,C33,C,HL_C,3438524,5.094,14.82,0.328,0.096,0.519,6.312,0.902
12,3,5,3,HL,D27,D,HL_D,2781115,3.972,14.28,0.229,0.082,0.537,6.186,0.884
12,3,5,3,HL,E33,E,HL_E,2739603,4.769,17.41,0.235,0.086,0.506,6.186,0.884
12,3,5,2,HL,F26,F,HL_F,2162194,4.127,19.09,0.24,0.111,0.567,6.312,0.902
12,3,5,6,HL,G02,G,HL_G,1585255,3.168,19.99,0.179,0.113,0.508,6.133,0.876
12,3,5,1,HL,H33,H,HL_H,2558188,4.646,18.16,0.288,0.113,0.483,6.126,0.875
12,3,5,1,HL,I26,I,HL_I,2936045,3.822,13.02,0.252,0.086,0.476,6.126,0.875
12,3,5,5,HL,J08,J,HL_J,1942548,4.073,20.97,0.218,0.112,0.528,6.203,0.886
12,3,6,6,HH,C28,C,HH_C,4181735,6.15,14.71,0.266,0.064,0.495,10.947,1.564
12,3,6,5,HH,D09,D,HH_D,2438641,5.228,21.44,0.269,0.11,0.558,11.016,1.574
12,3,6,5,HH,E3W,E,HH_E,2288438,3.772,16.48,0.27,0.118,0.515,11.016,1.574
12,3,6,5,HH,FX,F,HH_F,0,0,0,0,0,0,11.016,1.574
12,3,6,5,HH,GX,G,HH_G,0,0,0,0,0,0,11.016,1.574
12,3,6,6,HH,H34,H,HH_H,776138,2.161,27.84,0.241,0.31,0.418,10.947,1.564
12,3,6,3,HH,I20,I,HH_I,2712202,4.04,14.9,0.327,0.121,0.464,10.999,1.571
12,3,6,1,HH,JX,J,HH_J,0,0,0,0,0,0,10.94,1.563
