sampleID,genet,day,trt,trt_genet,fvfm
I18,I,10,LL,LL_I,0.497
J25,J,10,LL,LL_J,0.575
C4W,C,10,U,U_C,0.552
D04,D,10,U,U_D,0.544
E28,E,10,U,U_E,0.564
F23,F,10,U,U_F,0.59
G09,G,10,U,U_G,0.568
H17,H,10,U,U_H,0.55
I25,I,10,U,U_I,0.44
J18,J,10,U,U_J,0.567
C36,C,11,C,C_C,0.587
D12,D,11,C,C_D,0.502
E10,E,11,C,C_E,0.56
F22,F,11,C,C_F,0.522
G28,G,11,C,C_G,0.528
H11,H,11,C,C_H,0.542
I09,I,11,C,C_I,0.478
J14,J,11,C,C_J,0.563
C28,C,11,HH,HH_C,0.495
D09,D,11,HH,HH_D,0.558
E3W,E,11,HH,HH_E,0.515
FX,F,11,HH,HH_F,0
GX,G,11,HH,HH_G,0
H34,H,11,HH,HH_H,0.418
I20,I,11,HH,HH_I,0.464
JX,J,11,HH,HH_J,0
C33,C,11,HL,HL_C,0.519
D27,D,11,HL,HL_D,0.537
E33,E,11,HL,HL_E,0.506
F26,F,11,HL,HL_F,0.567
G02,G,11,HL,HL_G,0.508
H33,H,11,HL,HL_H,0.483
I26,I,11,HL,HL_I,0.476
J08,J,11,HL,HL_J,0.528
C09,C,11,LH,LH_C,0.543
D18,D,11,LH,LH_D,0.545
E13O,E,11,LH,LH_E,0.493
F19,F,11,LH,LH_F,0.567
G14,G,11,LH,LH_G,0.58
H30,H,11,LH,LH_H,0.465
I27,I,11,LH,LH_I,0.477
J02,J,11,LH,LH_J,0.519
C13,C,11,LL,LL_C,0.576
D08,D,11,LL,LL_D,0.503
E35,E,11,LL,LL_E,0.524
F11,F,11,LL,LL_F,0.573
G29,G,11,LL,LL_G,0.594
H10,H,11,LL,LL_H,0.477
I18,I,11,LL,LL_I,0.435
J25,J,11,LL,LL_J,0.507
C4W,C,11,U,U_C,0.566
D04,D,11,U,U_D,0.467
E28,E,11,U,U_E,0.513
F23,F,11,U,U_F,0.567
G09,G,11,U,U_G,0.553
H17,H,11,U,U_H,0.47
I25,I,11,U,U_I,0.389
J18,J,11,U,U_J,0.456
